Pop,ID,Tem,Heart,ABT
CNS,1,33,60,32.08
CNS,1,33.2,64,32.08
CNS,1,33.3,60,32.08
CNS,1,33.4,56,32.08
CNS,1,33.7,59,32.08
CNS,1,33.6,54,32.08
CNS,1,33.9,53,32.08
CNS,1,34.2,39,32.08
CNS,1,34.3,30,32.08
CNS,1,34.3,30,32.08
CNS,1,34.5,22,32.08
CNS,1,34.5,24,32.08
CNS,1,34.5,17,32.08
CNS,1,34.6,15,32.08
CNS,1,34.8,22,32.08
CNS,1,34.7,16,32.08
CNS,1,34.8,14,32.08
CNS,1,35,11,32.08
CNS,1,35.2,14,32.08
CNS,1,35.1,10,32.08
CNS,1,35.2,6,32.08
CNS,1,35.5,7,32.08
CNS,1,35.5,5,32.08
CNS,1,35.7,6,32.08
CNS,1,35.7,5,32.08
CNS,2,19.5,42,31.98
CNS,2,19.5,44,31.98
CNS,2,19.5,44,31.98
CNS,2,19.5,43,31.98
CNS,2,19.5,43,31.98
CNS,2,19.5,44,31.98
CNS,2,19.5,44,31.98
CNS,2,19.5,43,31.98
CNS,2,19.5,46,31.98
CNS,2,19.5,44,31.98
CNS,2,19.6,45,31.98
CNS,2,19.6,45,31.98
CNS,2,19.6,46,31.98
CNS,2,19.6,44,31.98
CNS,2,19.6,44,31.98
CNS,2,19.6,44,31.98
CNS,2,19.7,45,31.98
CNS,2,19.7,45,31.98
CNS,2,19.7,47,31.98
CNS,2,19.8,47,31.98
CNS,2,19.8,47,31.98
CNS,2,19.8,47,31.98
CNS,2,19.9,44,31.98
CNS,2,19.9,47,31.98
CNS,2,19.9,48,31.98
CNS,2,20,47,31.98
CNS,2,20,48,31.98
CNS,2,20.1,48,31.98
CNS,2,20.2,46,31.98
CNS,2,20.2,46,31.98
CNS,2,20.3,46,31.98
CNS,2,20.4,47,31.98
CNS,2,20.5,44,31.98
CNS,2,20.5,45,31.98
CNS,2,20.6,46,31.98
CNS,2,20.6,47,31.98
CNS,2,20.8,47,31.98
CNS,2,20.8,47,31.98
CNS,2,20.9,46,31.98
CNS,2,20.9,47,31.98
CNS,2,21,46,31.98
CNS,2,21,46,31.98
CNS,2,21.2,46,31.98
CNS,2,21.3,48,31.98
CNS,2,21.3,47,31.98
CNS,2,21.4,47,31.98
CNS,2,21.5,46,31.98
CNS,2,21.6,47,31.98
CNS,2,21.6,46,31.98
CNS,2,21.7,48,31.98
CNS,2,21.8,47,31.98
CNS,2,21.9,48,31.98
CNS,2,21.9,49,31.98
CNS,2,22,49,31.98
CNS,2,22.1,49,31.98
CNS,2,22.2,47,31.98
CNS,2,22.3,49,31.98
CNS,2,22.4,51,31.98
CNS,2,22.5,52,31.98
CNS,2,22.6,52,31.98
CNS,2,22.7,51,31.98
CNS,2,22.8,51,31.98
CNS,2,22.8,52,31.98
CNS,2,22.9,52,31.98
CNS,2,23,53,31.98
CNS,2,23.1,52,31.98
CNS,2,23.2,54,31.98
CNS,2,23.3,53,31.98
CNS,2,23.3,54,31.98
CNS,2,23.5,54,31.98
CNS,2,23.5,55,31.98
CNS,2,23.6,53,31.98
CNS,2,23.8,56,31.98
CNS,2,23.8,57,31.98
CNS,2,23.9,57,31.98
CNS,2,24,57,31.98
CNS,2,24.1,58,31.98
CNS,2,24.2,59,31.98
CNS,2,24.3,58,31.98
CNS,2,24.3,60,31.98
CNS,2,24.5,59,31.98
CNS,2,24.6,60,31.98
CNS,2,24.6,60,31.98
CNS,2,24.8,61,31.98
CNS,2,24.9,62,31.98
CNS,2,24.9,61,31.98
