Temp,Group,SGR_WW
20,CNS,0.438031867
20,CNS,0.348506624
20,CNS,0.184134938
20,CNS,0.563739336
20,CNS,0.529792461
20,CNS,0.53005172
20,CNS,0.363783907
20,CNS,0.511475661
20,CNS,0.293129301
20,CNS,0.39015116
20,CNS,0.480977735
20,CNS,0.424155105
20,CNS,0.087205536
20,CNS,0.57412005
20,CNS,0.78792253
20,CNS,0.430392327
20,CNS,0.38415815
20,CNS,0.629733248
20,CNS,0.625768878
20,CNS,0.366118986
20,CNS,0.708597991
20,CNS,0.537981739
20,CNS,0.564986836
20,CNS,0.308888415
20,CNS,0.525414376
20,CNS,0.549367458
20,CNS,0.196099334
20,CNS,0.095960643
20,CNS,0.477334868
20,CNS,0.667237386
20,CNS,0.67891821
22,CNS,0.112457631
20,CNS,0.459799805
20,CNS,0.560853849
20,CNS,0.497913222
20,CNS,0.583917154
20,CNS,0.660954354
20,CNS,0.598924234
20,CNS,0.562797982
20,CNS,0.509434741
18,CNS,0.501953623
18,CNS,0.552708686
18,CNS,0.340765267
18,CNS,0.511142897
18,CNS,0.294190754
18,CNS,0.365626752
18,CNS,0.452670941
18,CNS,0.334813356
18,CNS,0.443980764
18,CNS,0.508107988
18,CNS,0.400341431
18,CNS,0.583163466
18,CNS,0.368893347
18,CNS,0.196664318
18,CNS,0.475640207
18,CNS,0.489150908
18,CNS,0.374672928
18,CNS,0.340300224
18,CNS,0.212637325
18,CNS,0.430178039
18,CNS,0.676543053
18,CNS,0.361015725
18,CNS,0.444525388
18,CNS,0.608207507
18,CNS,0.379815798
18,CNS,0.596760549
18,CNS,0.454846938
18,CNS,0.214825119
18,CNS,0.413098908
18,CNS,0.290105212
18,CNS,0.29037081
18,CNS,0.393044263
18,CNS,0.575743763
18,CNS,0.363700495
18,CNS,0.437282346
18,CNS,0.35634772
18,CNS,0.41190887
18,CNS,0.379264378
18,CNS,0.452213141
18,CNS,0.465635821
18,CNS,0.377854926
18,CNS,0.58694836
18,CNS,0.349384169
18,CNS,0.734233363
18,CNS,0.58724367
18,CNS,0.289130268
18,CNS,0.461235233
18,CNS,0.57524809
18,CNS,0.432706512
18,CNS,0.720425173
18,CNS,0.406871052
18,CNS,0.595879679
18,CNS,0.339166836
18,CNS,0.172805054
18,CNS,0.411968734
18,CNS,0.288640208
18,CNS,0.300252939
18,CNS,0.183435864
18,CNS,0.599860858
18,CNS,NA
18,CNS,0.631727223
18,CNS,0.397002671
18,CNS,NA
18,CNS,0.127771531
18,CNS,0.083169029
18,CNS,0.129342218
18,CNS,0.422160016
18,CNS,0.4699462
18,CNS,0.644040347
18,CNS,0.684205624
18,CNS,0.423704619
18,CNS,0.531411741
18,CNS,0.03992963
18,CNS,0.466723108
18,CNS,0.571045443
18,CNS,0.485621277
16,CNS,0.419644647
16,CNS,0.465887083
16,CNS,0.421458394
16,CNS,0.483009956
16,CNS,0.287518801
16,CNS,0.445884373
16,CNS,0.331740293
16,CNS,0.258875032
16,CNS,0.568653946
16,CNS,0.339174953
16,CNS,0.554573946
16,CNS,0.446036476
16,CNS,0.463944765
16,CNS,0.292094563
16,CNS,0.091433901
16,CNS,0.51144763
16,CNS,0.318245597
16,CNS,0.025256874
16,CNS,0.011598658
16,CNS,0.160953701
16,CNS,0.652081349
16,CNS,0.289771329
16,CNS,0.608188926
16,CNS,0.294083777
16,CNS,0.521600414
16,CNS,0.489303219
16,CNS,NA
16,CNS,0.015650487
16,CNS,0.236924031
16,CNS,0.605419353
16,CNS,0.044531856
16,CNS,0.234920473
16,CNS,0.403071439
16,CNS,0.401226653
16,CNS,0.429714279
16,CNS,0.467977544
16,CNS,0.620992241
16,CNS,0.429266852
16,CNS,0.220110919
16,CNS,0.542475098
16,CNS,0.273877924
16,CNS,0.533878289
16,CNS,0.391862826
16,CNS,0.338410994
16,CNS,0.285451628
16,CNS,0.187978229
16,CNS,NA
16,CNS,0.323187401
16,CNS,0.688535516
16,CNS,0.688268122
16,CNS,0.189528349
16,CNS,0.534748449
13,CNS,0.307017163
13,CNS,0.313451943
13,CNS,0.398176275
10,CNS,0.441769247
13,CNS,0.397548009
13,CNS,0.355477131
13,CNS,0.576109587
13,CNS,0.347674478
13,CNS,0.476894864
13,CNS,0.262172338
13,CNS,0.541619764
13,CNS,0.417372433
13,CNS,0.360840136
13,CNS,0.449822776
13,CNS,0.591641814
13,CNS,0.110538897
13,CNS,0.340728179
13,CNS,0.447947054
13,CNS,0.427412126
13,CNS,NA
13,CNS,0.422304455
13,CNS,0.38800575
13,CNS,0.322300569
13,CNS,0.443144377
13,CNS,0.355249754
13,CNS,NA
13,CNS,0.469962596
13,CNS,0.304850576
13,CNS,0.48444614
13,CNS,0.445572719
13,CNS,0.125772393
13,CNS,0.441480392
13,CNS,0.373640485
13,CNS,NA
13,CNS,0.455418225
13,CNS,0.069973561
13,CNS,0.382735998
13,CNS,0.408779087
13,CNS,0.33787244
13,CNS,0.593414642
13,CNS,0.464582236
13,CNS,0.402558088
13,CNS,NA
13,CNS,0.371372329
13,CNS,0.348805466
13,CNS,0.571491819
13,CNS,0.445556436
13,CNS,0.349148393
13,CNS,0.541623998
13,CNS,0.379498247
13,CNS,0.487945686
13,CNS,0.51389693
13,CNS,0.523656789
13,CNS,0.528226798
13,CNS,0.441978992
13,CNS,0.42208444
13,CNS,0.305844034
10,CNS,0.399429767
10,CNS,0.391588022
16,CNS,0.230085144
10,CNS,0.457045129
10,CNS,0.358674156
10,CNS,0.336742113
10,CNS,0.340054917
10,CNS,0.335079838
10,CNS,0.355623729
10,CNS,0.224054589
10,CNS,0.306812674
10,CNS,0.308964843
10,CNS,0.227580815
10,CNS,0.343248184
10,CNS,0.296398353
10,CNS,0.394558424
10,CNS,0.393436143
10,CNS,0.490548316
10,CNS,0.151522496
10,CNS,0.447016262
10,CNS,0.355012536
10,CNS,0.328452219
10,CNS,0.283993997
10,CNS,0.299265769
10,CNS,0.3883957
